X;Y;Z;Pressure;GripAngle;Timestamp;TimeIndex
71.87328;147.21161;-15.875469;458.64386;1155.4241;3385858.2;0.43497777
91.95242;104.023544;-8.819837;487.26892;1212.204;3385858.2;0.5787893
44.85831;79.27561;7.2757206;633.63684;1253.5151;3385858.2;0.7079989
17.516428;71.39707;11.777065;664.90826;1247.3026;3385858.2;0.745928
30.89557;87.8918;9.015241;648.16077;1209.8612;3385858.2;0.7321884
44.105225;105.87736;5.18042;635.5029;1188.1937;3385858.2;0.7124082
50.07917;116.6824;2.385707;624.48505;1178.6063;3385858.2;0.6955262
52.181908;122.86609;0.7399564;617.542;1175.5533;3385858.5;0.68347365
52.260025;126.459526;-0.108255446;614.18964;1176.2489;3385858.5;0.67610615
51.52312;128.71368;-0.50398344;612.9762;1178.8535;3385858.5;0.6724673
50.575592;130.3328;-0.6711793;612.93823;1182.3616;3385858.5;0.6713536
49.647594;131.61879;-0.72828984;613.455;1186.1876;3385858.5;0.6717365
48.81621;132.69305;-0.7342875;614.1782;1189.9799;3385858.5;0.67289513
48.099243;133.60797;-0.71815574;614.93494;1193.5405;3385858.5;0.6743788
47.492516;134.39064;-0.6938786;615.6468;1196.7672;3385858.5;0.67592496
46.984016;135.05984;-0.66804206;616.28455;1199.6211;3385858.5;0.67739415
46.55971;135.63132;-0.6435582;616.8423;1202.1014;3385858.5;0.67872006
46.20603;136.11911;-0.6215743;617.32404;1204.2296;3385858.5;0.67987996
45.9105;136.53568;-0.6023694;617.7373;1206.0391;3385858.5;0.6808745
45.66291;136.89209;-0.5858645;618.0908;1207.5675;3385858.8;0.6817163
45.454453;137.19774;-0.5717964;618.3925;1208.8536;3385858.8;0.68242276
45.278107;137.46071;-0.55987364;618.6498;1209.9327;3385858.8;0.68301266
45.12814;137.68776;-0.54979956;618.8687;1210.8374;3385858.8;0.68350434
44.999798;137.88446;-0.54129297;619.0549;1211.5961;3385858.8;0.6839133
44.889526;138.05559;-0.53411645;619.21265;1212.2325;3385858.8;0.6842539
44.794098;138.205;-0.528056;619.3462;1212.7673;3385858.8;0.68453753
44.711193;138.33589;-0.5229414;619.45917;1213.2181;3385858.8;0.6847741
44.638905;138.45093;-0.5186083;619.55414;1213.5986;3385858.8;0.6849721
44.575455;138.55247;-0.5149467;619.6341;1213.9209;3385858.8;0.68513805
44.519535;138.6423;-0.5118362;619.701;1214.1943;3385858.8;0.6852776
44.47013;138.72208;-0.5091936;619.757;1214.4275;3385858.8;0.68539494
44.426315;138.79306;-0.50694424;619.80365;1214.6266;3385859.0;0.6854941
44.3872;138.85648;-0.5050174;619.8424;1214.7971;3385859.0;0.68557805
44.352272;138.91324;-0.5033734;619.8747;1214.9437;3385859.0;0.68564934
44.320957;138.96423;-0.5019658;619.90125;1215.0703;3385859.0;0.68570983
44.292854;139.01004;-0.5007509;619.9231;1215.1797;3385859.0;0.68576163
44.26737;139.0514;-0.4997057;619.941;1215.2745;3385859.0;0.6858058
44.24445;139.08876;-0.4988043;619.9556;1215.3574;3385859.0;0.6858436
44.223633;139.12268;-0.49802756;619.9674;1215.4296;3385859.0;0.6858762
44.20474;139.15341;-0.4973444;619.9769;1215.4927;3385859.0;0.6859041
44.187496;139.18141;-0.4967533;619.9845;1215.5481;3385859.0;0.68592834
44.171707;139.20695;-0.49623293;619.9903;1215.597;3385859.0;0.68594915
44.1574;139.23032;-0.4957819;619.9952;1215.6404;3385859.0;0.6859674
44.14423;139.25163;-0.4953836;619.9986;1215.6785;3385859.2;0.68598324
44.13212;139.27118;-0.4950335;620.0014;1215.7125;3385859.2;0.68599695
44.121044;139.28917;-0.49472862;620.00336;1215.7428;3385859.2;0.686009
44.110825;139.30571;-0.49445775;620.0046;1215.7699;3385859.2;0.68601954
44.101322;139.32095;-0.49421656;620.00555;1215.7943;3385859.2;0.6860289
44.092697;139.33507;-0.49400014;620.0059;1215.816;3385859.2;0.686037
44.08451;139.34804;-0.49380416;620.0059;1215.8359;3385859.2;0.6860443
