Label,Smoothness,Average Amplitude,Irregularities,Peak Count,Trough Count,Zero Crossings,Wave Energy,Signal Entropy,Skewness,Kurtosis,Dominant Frequency,Image
Healthy,0.0767551569537945,0.0837730870712401,252,0,0,1,1309.1629025036718,2.2917539395026933,-0.06124027009419787,-1.225984595162581,1,Healthysynth2
Healthy,0.058286145750767335,0.0690451854874635,251,0,0,1,1189.9929091405777,2.2871921314323327,0.16204016749359718,-1.2506248745066209,1,Healthysynth3
Healthy,0.06927507742159311,0.07891453026078188,252,0,0,1,1029.5091001822009,2.271862862817013,0.042767517452822534,-1.172119181931465,1,Healthysynth4
Healthy,0.0599068026422694,0.0625257595818969,255,0,0,1,1359.0039330833372,2.2813421835352226,0.16940478041590978,-1.2225947999687836,1,Healthysynth6
Healthy,0.06603064862122332,0.06954623330832692,253,0,0,1,1145.7899335069171,2.2964384731671323,-0.08623546056104885,-1.2049353416673398,1,Healthysynth11
Healthy,0.06591503679270692,0.07661222151740177,254,0,0,1,1113.6196265269614,2.2847611011591855,0.17058518945221923,-1.2021113169784716,1,Healthysynth12
Healthy,0.06985044411516393,0.08337908568086735,253,0,0,1,1138.9442780968852,2.268329271822319,-0.1322475868168621,-1.0517486447273092,1,Healthysynth13
Healthy,0.0730689644719576,0.07385702183042575,250,0,0,1,1238.6606914273234,2.297909189821933,0.036697950315584885,-1.1989847918293637,1,Healthysynth14
Healthy,0.07634324502669083,0.08141052312802433,253,0,0,1,920.5932717912274,2.280640951462762,-0.11491974746208469,-0.9667920054903902,1,Healthysynth15
Healthy,0.07368179261800793,0.0837730870712401,252,0,0,1,1286.3765741997872,2.29092612728628,-0.02660543473724403,-1.1653626427597674,1,Healthysynth16
Healthy,0.07297007951388514,0.07319088795408459,250,0,0,1,1076.5607353657228,2.2850834254134362,-0.06856255759289777,-1.0184566318682364,1,Healthysynth17
Healthy,0.0668026116501281,0.07667584596591882,254,0,0,1,1291.7305829415218,2.2889565376284744,-0.04290567104119866,-1.2595544497610094,1,Healthysynth18
Healthy,0.0767551569537945,0.0837730870712401,252,0,0,1,917.76513630379,2.2922872087610893,0.049376102742834174,-1.1816401479442922,1,Healthysynth21
Healthy,0.06537916067234238,0.07363204406975976,250,0,0,1,1138.6686227972032,2.283172700660852,0.0776923828133864,-1.2702072563985032,1,Healthysynth23
Healthy,0.06670212856132701,0.07229650755800401,250,0,0,1,956.7807268676318,2.293102624877568,0.0516114384465443,-1.1452914298984258,1,Healthysynth24
Healthy,0.07113535509192452,0.08138380701179823,255,0,0,1,1289.9123792946166,2.2863908572675657,0.010909612528694665,-1.2482761154012687,1,Healthysynth25
Healthy,0.07076394673640253,0.07490162677766084,252,0,0,1,1144.2562687227164,2.289012341324514,0.03401240272667446,-1.075360555742334,1,Healthysynth26
Healthy,0.0767551569537945,0.0837730870712401,249,0,0,1,917.76513630379,2.2955917395092853,0.04688400197089159,-0.862948343413053,1,Healthysynth28
Healthy,0.06670778196116431,0.07987453341095263,248,0,0,1,1082.3064270147772,2.2793356840094408,0.046759406774789125,-1.2719110149439905,1,Healthysynth30
Healthy,0.06900240738846607,0.07123479151180265,253,0,0,1,976.2601286363622,2.2944250408756077,0.04959462230373364,-1.3002230395729584,1,Healthysynth32
Healthy,0.06346593835769698,0.06476106126572738,253,0,0,1,1314.7535245799095,2.291195084313469,-0.005758421621267933,-1.0813069874703904,1,Healthysynth33
Healthy,0.0591274446671614,0.06660618313735027,254,0,0,1,1048.6999903983458,2.2872605687202663,0.2044479828092442,-1.0141242657025358,1,Healthysynth34
Healthy,0.07477158600097981,0.07409454288942174,253,0,0,1,1156.2848494710524,2.2951880755592784,0.017513668922875685,-1.227912831072317,1,Healthysynth36
Healthy,0.0706836607306164,0.06469837300478909,252,0,0,1,1499.4665760997743,2.2903346115379617,-0.12315770515989989,-1.2360635438202465,1,Healthysynth38
Healthy,0.07405932994853756,0.06291618376943266,255,0,0,1,917.76513630379,2.2988478840262503,0.053735535084577124,-1.3002230395729584,1,Healthysynth39
Healthy,0.07409544096568967,0.08211964658932479,252,0,0,1,917.76513630379,2.2801738414954023,0.056102636174335314,-1.0793233844440044,1,Healthysynth40
Healthy,0.05595875468040226,0.06581280446457521,253,0,0,1,1566.3878733473298,2.289548313956172,-0.0858276576932515,-1.2378048540883864,1,Healthysynth43
Healthy,0.05466979338844103,0.06289485834236028,251,0,0,1,1319.8919019245639,2.2920266645694007,0.03744256874380164,-1.1866134328996019,1,Healthysynth44
Healthy,0.06656108733214043,0.07293328092233202,250,0,0,1,1051.0188083335563,2.2826459398181544,-0.020744657922348593,-1.132409870358366,1,Healthysynth46
Healthy,0.058102620054060014,0.05650264073877897,251,0,0,1,1394.4809066154462,2.2925006525478833,-0.1236747785944425,-1.2030838708963847,1,Healthysynth48
Healthy,0.07518461610094011,0.0837730870712401,255,0,0,1,1040.5945179673072,2.2641538954364755,-0.008303519507951341,-1.0750624623821836,1,Healthysynth49
Healthy,0.05842929957403087,0.06284842475350405,251,0,0,1,1103.8198340321912,2.2645010817344384,-0.003615046502427059,-1.0657292605415236,1,Healthysynth52
Healthy,0.05705670863606252,0.07906817623126389,254,0,0,1,1393.7811984674386,2.288780468681622,0.05827039573662507,-1.2634871469876225,1,Healthysynth54
Healthy,0.06207636077873267,0.06615496938391476,253,0,0,1,1123.5854609994062,2.2926029711497455,0.1212938359721533,-1.2237683720489263,1,Healthysynth56
